,id,text,time,location,followers,user_id,favorite_count,retweet_count,verified,rumour,reply_id,reply_text,reply_time,reply_location,reply_followers,reply_user_id,reply_verified
0,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498260814487642112,"@AmeenaGK @jaythenerdkid And how long before a conservative pundit finds some pic of him messing around with friends to ID him as a ""man""",Sun Aug 10 00:13:30 +0000 2014,"Beaverton, Oregon",1639,59346212,False
1,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498263013250854912,"@AmeenaGK @CyMadD0x 

An unarmed black 17 year old was shot by cops instead of fellow blacks... 

Better make national news of it #Ferguson",Sun Aug 10 00:22:14 +0000 2014,Cascadia x Apex of Time,956,564825956,False
2,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498275474838421504,"@AmeenaGK @RaavynnDigitaL how quaint. black men are ""boys"" until saying so would get police in trouble, then they're ""men"" and ""thugs"".",Sun Aug 10 01:11:45 +0000 2014,Masshole at heart,231,128747003,False
3,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498275503691030528,@AmeenaGK @RaavynnDigitaL what a fucking joke.,Sun Aug 10 01:11:52 +0000 2014,Masshole at heart,231,128747003,False
4,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498277799723929600,@AmeenaGK @retrocombine 17 year old boy?,Sun Aug 10 01:20:59 +0000 2014,United States,178,20886251,False
5,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498277988773793794,"@AmeenaGK @retrocombine Was this ""boy"" over six feet and around 200lbs?",Sun Aug 10 01:21:44 +0000 2014,United States,178,20886251,False
6,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498287412985208833,@AmeenaGK He's a young boy.,Sun Aug 10 01:59:11 +0000 2014,,66,2364168730,False
7,498254340310966273,"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",Sat Aug 09 23:47:46 +0000 2014,NYC-Philly-Lahore-Schwäb.Gmünd,1034,552283163,54,293,False,1,498674264317632513,@AmeenaGK he's not a Boy. Racist,Mon Aug 11 03:36:24 +0000 2014,Nashville,10,2297403132,False
8,498254929942028288,"17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.

(read the #ferguson tag)",Sat Aug 09 23:50:07 +0000 2014,"Patrick Division, Long Island",874288,7214972,50,176,False,1,498258298358231041,No excuse. “@inthefade: 17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.,Sun Aug 10 00:03:30 +0000 2014,,1222,712590698,False
9,498254929942028288,"17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.

(read the #ferguson tag)",Sat Aug 09 23:50:07 +0000 2014,"Patrick Division, Long Island",874288,7214972,50,176,False,1,498287281716068352,@inthefade there's no excuse,Sun Aug 10 01:58:40 +0000 2014,,67,2364168730,False
10,498254929942028288,"17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.

(read the #ferguson tag)",Sat Aug 09 23:50:07 +0000 2014,"Patrick Division, Long Island",874288,7214972,50,176,False,1,498290680389967875,@inthefade @divineem It applies to Black people.,Sun Aug 10 02:12:10 +0000 2014,"Statesboro, GA",6,115921994,False
